     Eje X     Eje Y     Eje Z
  1.303063  0.807012 -0.525941
  1.218063  0.689012 -0.538941
  1.146062  0.615012 -0.549941
  1.009063  0.501012 -0.436941
  1.139063  0.884012 -0.504941
  1.186062  0.946012 -0.570941
  1.216063  1.198012 -0.573941
  1.333063  1.218012 -0.658941
  1.346063  1.346012 -0.784941
  1.352062  1.427012 -1.012941
  1.361063  1.411012 -0.977941
  1.288062  0.207012 -0.885941
  1.333063  0.233012 -0.414941
  1.367062  0.297012 -0.506941
  1.407063  0.157012 -0.497941
  1.315063  0.220012 -0.382941
  1.346063  0.225012 -0.486941
  1.332062  0.269012 -0.549941
  1.079062  0.473012 -0.600941
  1.166062  0.502012 -0.539941
  1.176062  0.395012 -0.423941
  1.075063  0.477012 -0.324941
  0.970062  0.498012 -0.170941
  0.917063  0.431012 -0.162941
  0.827062  0.620012 -0.409941
  1.939062  1.567012 -0.547941
 -1.975937  1.839012 -0.616941
 -1.621938  1.892012 -0.648941
 -1.393937 -2.016988 -0.530941
 -1.250937 -1.921988 -0.759941
 -1.074937 -2.030988 -0.837941
 -1.050938 -1.978988 -0.761941
 -0.609937  0.567012 -0.718941
  0.004062  0.742012 -1.002941
  0.459062  0.862012 -0.863941
  0.948062  1.053012 -0.853941
  1.543062  1.153012 -0.816941
  1.902063  1.064012 -0.651941
 -1.970937  1.224012 -0.900941
  0.829063 -0.198988 -0.787941
  0.661062 -0.046988 -0.905941
  0.333062  0.201012 -1.008941
  0.210063  0.427012 -0.981941
  0.176062  0.628012 -0.931941
  0.159063  0.824012 -1.005941
  2.037062 -0.104988 -0.890941
 -2.005938 -0.100988 -0.749941
  1.916062 -0.081988 -0.695941
  1.714062 -0.079988 -0.613941
  1.467062  0.023012 -0.459941
  1.432063  0.072012 -0.564941
  1.307063  0.196012 -0.702941
  0.968063  1.996012 -0.620941
  0.989062  2.036012 -1.169941
  0.374063  0.552012 -0.799941
  0.086062  0.190012 -0.727941
 -0.176938  0.005012 -0.793941
 -0.311938 -0.310988 -0.773941
 -0.451937 -0.490988 -0.607941
 -1.950938  1.254012 -0.581941
 -1.850937  1.364012 -0.876941
 -1.787938  1.272012 -0.917941
 -1.984938  1.387012 -0.719941
 -1.960938  1.293012 -0.699941
 -2.036937  1.268012 -0.632941
  1.785063  1.214012 -0.585941
  1.799062  1.477012 -0.713941
  1.943063  1.512012 -0.789941
  2.005063  1.372012 -0.606941
  1.978063  1.372012 -0.603941
 -2.023937  1.248012 -0.626941
  1.870062  1.075012 -0.529941
  1.732062  1.079012 -0.698941
  1.588063  0.703012 -0.880941
  1.624063  0.684012 -0.910941
  1.554062  0.772012 -0.830941
  1.442062  0.748012 -0.723941
  1.199062  0.679012 -0.658941
  0.839063  0.709012 -0.518941
  0.536062  0.620012 -0.466941
 -1.647938  1.034012 -0.580941
 -1.675938  0.902012 -0.734941
 -1.214937  1.130012 -0.933941
 -1.160938  1.552012 -1.540941
 -1.283937  0.554012 -0.131941
 -1.315938  0.642012 -0.049941
  1.930063  0.113012 -0.967941
  0.745062  1.304012 -0.826941
  0.378062  1.350012 -1.066941
  0.743062  1.155012 -1.801941
  0.905062  0.905012 -0.868941
  0.740062  0.847012 -0.537941
  0.879062  0.734012 -1.015941
  0.779063  0.706012 -0.497941
  1.325063  0.429012 -0.749941
  1.140062  0.461012 -0.581941
  1.337062  0.362012 -1.263941
  1.418062  0.413012 -0.988941
  1.520062  0.296012 -0.779941
  1.292063  0.312012 -0.125941
  0.957062  0.344012 -0.425941
  1.149063  0.253012 -1.203941
  1.093063  0.254012 -1.037941
  1.093063  0.290012 -0.939941
  1.166062  0.233012 -0.628941
  0.972063  0.446012 -0.219941
  0.800062  0.589012 -0.509941
  1.175063  0.917012 -1.030941
  1.013062  0.490012 -0.959941
  0.736063  0.211012 -0.866941
  0.561063 -0.387988 -1.039941
  0.434063 -0.887988 -0.735941
  0.269062 -1.141988 -0.369941
  0.122062 -1.392988 -0.322941
  0.072062  1.199012 -0.390941
  0.044062  1.311012 -0.787941
  0.193062  1.508012 -1.229941
  0.406063  1.496012 -1.119941
  0.597063  1.558012 -1.113941
  0.849063  1.636012 -1.035941
